"id","route","direction","priority","name","index","fraction","next_fraction"
444,"1",0,4,"вул. Князів Острозьких",8,0.198311936035107,0.215597399137613
445,"1",0,5,"вул. Хлібна",11,0.215597399137613,0.261197849516172
446,"1",0,6,"вул. Небесної сотні",13,0.261197849516172,0.305333000112803
447,"1",0,7,"Кінотеатр ""Україна""",16,0.305333000112803,0.333028918726944
448,"1",0,8,"вул. Театральна",20,0.333028918726944,0.385521152640149
449,"1",0,9,"пл. Корольова",23,0.385521152640149,0.425684152880833
450,"1",0,10,"Старий Бульвар",27,0.425684152880833,0.464223085153302
451,"1",0,11,"Університет ім. Івана Франка",28,0.464223085153302,0.527599467372967
452,"1",0,12,"вул. Довженка",33,0.527599467372967,0.560093765890244
453,"1",0,13,"вул. Гагаріна",34,0.560093765890244,0.592931189327847
454,"1",0,14,"вул. Жуйка",37,0.592931189327847,0.63334235105082
455,"1",0,15,"пров. 3-й Магазинний",40,0.63334235105082,0.660948261779403
456,"1",0,16,"пл. Смолянська",41,0.660948261779403,0.708012498169492
457,"1",0,17,"вул. Лук’яненка",43,0.708012498169492,0.75316905016709
458,"1",0,18,"вул. Івана Огієнка",47,0.75316905016709,0.799810561735194
459,"1",0,19,"майдан Польовий",49,0.799810561735194,0.829997621789545
460,"1",0,20,"вул. Корольова",52,0.829997621789545,0.874390796033596
462,"1",0,22,"вул. Шевченка",57,0.889147019074123,0.958478833233903
463,"1",0,23,"вул. Гоголівська",59,0.958478833233903,0.999787250164714
464,"1",0,24,"Залізничний вокзал",617,0.999787250164714,1
465,"1",1,0,"Залізничний вокзал",617,0,0.0296275444076263
466,"1",1,1,"пл. Привокзальна",61,0.0296275444076263,0.0642111533643541
467,"1",1,2,"вул. Гоголівська",58,0.0642111533643541,0.119412351203813
468,"1",1,3,"вул. Шевченка",56,0.119412351203813,0.145648292562412
469,"1",1,4,"ТЦ ""Фуршет""",55,0.145648292562412,0.176609259344442
470,"1",1,5,"вул. Корольова",51,0.176609259344442,0.221577462405869
471,"1",1,6,"майдан Польовий",48,0.221577462405869,0.247459192611619
472,"1",1,7,"на вимогу",32927,0.247459192611619,0.270940254606016
473,"1",1,8,"вул. Івана Огієнка",46,0.270940254606016,0.334966629809789
474,"1",1,9,"пл. Смолянська",42,0.334966629809789,0.377303892620547
475,"1",1,10,"пров. 3-й Магазинний",39,0.377303892620547,0.438543190135669
476,"1",1,11,"вул. Гагаріна",35,0.438543190135669,0.485093396397414
477,"1",1,12,"вул. Довженка",32,0.485093396397414,0.520653957481985
478,"1",1,13,"Університет ім. Івана Франка",30,0.520653957481985,0.585589758876801
479,"1",1,14,"Старий Бульвар",25,0.585589758876801,0.632874056161709
480,"1",1,15,"пл. Корольова",24,0.632874056161709,0.660198527694968
481,"1",1,16,"Телецентр",21,0.660198527694968,0.679987472009799
482,"1",1,17,"Михайлівський собор",15,0.679987472009799,0.711119020274658
483,"1",1,18,"Укртелеком",33006,0.711119020274658,0.750782878874296
484,"1",1,19,"вул. Небесної сотні",14,0.750782878874296,0.812928038061422
485,"1",1,20,"вул. Князів Острозьких",9,0.812928038061422,0.866497246821289
486,"1",1,21,"майдан Згоди",4,0.866497246821289,0.899871926035048
487,"1",1,22,"ТЦ ""Глобал""",6,0.899871926035048,0.950324817259666
488,"1",1,23,"Автовокзал",417,0.950324817259666,1
489,"1",1,24,"Залізничний вокзал",60,1,1
440,"1",0,0,"Залізничний вокзал",60,0,0.0507916429265604
441,"1",0,1,"Автовокзал",1,0.0507916429265604,0.105403884285528
442,"1",0,2,"ТЦ ""Глобал""",7,0.105403884285528,0.137028194266122
443,"1",0,3,"майдан Згоди",5,0.137028194266122,0.198311936035107
461,"1",0,21,"ТЦ ""Фуршет""",54,0.874390796033596,0.889147019074123
